"Status","Name","Duration in ms","Description"
"passed","test_login.TestLogin#test_login_01_error","780","测试登录功能异常。
        步骤：
        1、启动浏览器，进入登录页面；
        2、元素定位用户名和密码；
        3、发送用户名和密码(测试数据)；
        4、点击登录按钮
        5、断言

        1、登录  login()
        2、获取实际结果, actual = get_actual_result()
        3、断言  self.assertEqual(actual, expected)
        "
"passed","test_login.TestLogin#test_login_02_unregister","597",""
"passed","test_login.TestLogin#test_login_01_error","2434","测试登录功能异常。
        步骤：
        1、启动浏览器，进入登录页面；
        2、元素定位用户名和密码；
        3、发送用户名和密码(测试数据)；
        4、点击登录按钮
        5、断言

        1、登录  login()
        2、获取实际结果, actual = get_actual_result()
        3、断言  self.assertEqual(actual, expected)
        "
"passed","test_login.TestLogin#test_login_02_unregister","530",""
"passed","test_login.TestLogin#test_login_01_error","650","测试登录功能异常。
        步骤：
        1、启动浏览器，进入登录页面；
        2、元素定位用户名和密码；
        3、发送用户名和密码(测试数据)；
        4、点击登录按钮
        5、断言

        1、登录  login()
        2、获取实际结果, actual = get_actual_result()
        3、断言  self.assertEqual(actual, expected)
        "
"passed","test_login.TestLogin#test_login_03_success","22468",""
"passed","test_login.TestLogin#test_login_01_error","541","测试登录功能异常。
        步骤：
        1、启动浏览器，进入登录页面；
        2、元素定位用户名和密码；
        3、发送用户名和密码(测试数据)；
        4、点击登录按钮
        5、断言

        1、登录  login()
        2、获取实际结果, actual = get_actual_result()
        3、断言  self.assertEqual(actual, expected)
        "
